date,region,product_category,revenue,units_sold,cost,channel
2024-01-01,EMEIA - Europe,iPhone,1277885,6027,832542,Retail
2024-01-01,EMEIA - Europe,Mac,923479,2443,642879,Retail
2024-01-01,EMEIA - Europe,iPad,628976,3068,428903,Retail
2024-01-01,EMEIA - Europe,Services,450385,1352,158351,Online
2024-01-01,EMEIA - Europe,Wearables,363002,1055,237895,Retail
2024-01-01,EMEIA - Middle East,iPhone,433314,2113,264501,Online
2024-01-01,EMEIA - Middle East,Mac,290269,793,192389,Online
2024-01-01,EMEIA - Middle East,iPad,198236,742,134488,Retail
2024-01-01,EMEIA - Middle East,Services,150597,669,62153,Online
2024-01-01,EMEIA - Middle East,Wearables,126547,396,77481,Retail
2024-01-01,EMEIA - India,iPhone,605340,1631,465575,Retail
2024-01-01,EMEIA - India,Mac,284437,1489,215377,Online
2024-01-01,EMEIA - India,iPad,205137,527,151844,Retail
2024-01-01,EMEIA - India,Services,183142,863,60486,Retail
2024-01-01,EMEIA - India,Wearables,154064,472,105718,Retail
2024-01-01,EMEIA - Africa,iPhone,200759,1224,160721,Retail
2024-01-01,EMEIA - Africa,Mac,103045,472,84322,Retail
2024-01-01,EMEIA - Africa,iPad,68670,298,54700,Retail
2024-01-01,EMEIA - Africa,Services,56367,211,26703,Retail
2024-01-01,EMEIA - Africa,Wearables,46194,160,33943,Online
2024-02-01,EMEIA - Europe,iPhone,1331887,5285,899964,Online
2024-02-01,EMEIA - Europe,Mac,959389,3476,719400,Retail
2024-02-01,EMEIA - Europe,iPad,661507,2133,484002,Retail
2024-02-01,EMEIA - Europe,Services,482805,1946,181211,Online
2024-02-01,EMEIA - Europe,Wearables,395475,993,256300,Retail
2024-02-01,EMEIA - Middle East,iPhone,447239,1307,266944,Online
2024-02-01,EMEIA - Middle East,Mac,334638,1282,220998,Retail
2024-02-01,EMEIA - Middle East,iPad,200330,923,137672,Retail
2024-02-01,EMEIA - Middle East,Services,145078,641,57506,Retail
2024-02-01,EMEIA - Middle East,Wearables,122188,310,75237,Retail
2024-02-01,EMEIA - India,iPhone,615695,1590,455193,Online
2024-02-01,EMEIA - India,Mac,321413,1523,250669,Retail
2024-02-01,EMEIA - India,iPad,210351,1230,154406,Online
2024-02-01,EMEIA - India,Services,197611,571,74831,Retail
2024-02-01,EMEIA - India,Wearables,152344,793,106414,Online
2024-02-01,EMEIA - Africa,iPhone,201739,521,158646,Retail
2024-02-01,EMEIA - Africa,Mac,104379,330,82870,Online
2024-02-01,EMEIA - Africa,iPad,73425,344,56614,Retail
2024-02-01,EMEIA - Africa,Services,52698,253,23780,Retail
2024-02-01,EMEIA - Africa,Wearables,45541,218,34723,Retail
2024-03-01,EMEIA - Europe,iPhone,1397638,4973,980552,Retail
2024-03-01,EMEIA - Europe,Mac,992528,5423,713751,Online
2024-03-01,EMEIA - Europe,iPad,624230,3152,442191,Retail
2024-03-01,EMEIA - Europe,Services,442027,1733,166141,Online
